GBPNID,PlaceName,GridRef,Lat,Lng,HistCounty,Division,AdCounty,District,UniAuth,Police,Region,Alternative_Names,Type
34,Abbeytown,NY1750,54.844663,-3.289704,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
299,Ackenthwaite,SD5081,54.228545,-2.757752,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
419,Aglionby,NY4456,54.90124,-2.865459,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
423,Aiketgate,NY4846,54.811125,-2.809849,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
424,Aikton,NY2753,54.870597,-3.131868,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
435,Ainstable,NY5246,54.810174,-2.739314,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
515,Albyfield,NY5452,54.864337,-2.707617,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
579,Aldingham,SD2871,54.130304,-3.09866,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
584,Aldoth,NY1448,54.826269,-3.333958,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
656,Allenwood,NY4855,54.895936,-2.800167,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
663,Allerby,NY0839,54.742274,-3.416963,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
693,Allithwaite,SD3876,54.182115,-2.9411,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
696,Allonby,NY0842,54.770965,-3.430542,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
768,Alston,NY7146,54.812501,-2.4413846,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
849,Ambleside,NY3704,54.431764,-2.958822,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
926,Angerton,NY2257,54.902215,-3.204682,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
942,Annaside,SD0986,54.266692,-3.397053,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
986,Anthorn,NY1958,54.914328,-3.251065,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
1014,Appleby-in-Westmorland,NY6820,54.577771,-2.491265,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
1025,Applethwaite,NY2625,54.620632,-3.140591,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
1186,Arkleby,NY1439,54.745377,-3.334405,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
1193,Arlecdon,NY0418,54.556831,-3.471037,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
1209,Armathwaite,NY5046,54.808708,-2.767013,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
1222,Arnaby,SD1884,54.252162,-3.255344,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
1238,Arnside,SD4578,54.201616,-2.835458,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
1243,Arrad Foot,SD3080,54.217862,-3.065049,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
1271,Asby,NY0620,54.570187,-3.453202,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
1476,Askam in Furness,SD2177,54.188701,-3.2047038,Lancashire,,Cumbria,Barrow-in-Furness,,Cumbria,England,,Settlement
1482,Askham,NY5123,54.607085,-2.756669,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
1496,Aspatria,NY1441,54.76347,-3.333446,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
1696,Aughertree,NY2538,54.735493,-3.159348,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
1796,Ayside,SD3983,54.243613,-2.929133,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
1838,Backbarrow,SD3584,54.253158,-2.994583,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
1925,Baggrow,NY1741,54.764855,-3.278313,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
2039,Baldwinholme,NY3351,54.857673,-3.035262,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
